statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
23131;Diagnoses of hospital in-patients;JAHR;Year;2017;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-G00-G99;Diseases of the nervous system;782674;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2016;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-J00-J99;Diseases of the respiratory system;1270692;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2015;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-H60-H95;Diseases of the ear and mastoid process;158303;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2015;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-M00-M99;Diseases of the musculoskeletal sys.a.conn.tissue;1792631;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2024;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-P00-P96;Certain cond. originating in the perinatal period;171918;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2017;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-R00-R99;Symptoms,signs, abn.clinical,labor.findings n.e.c.;953095;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2024;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-I00-I99;Diseases of the circulatory system;2647281;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2022;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-Z00-Z99;Factors infl. health status,contact w.health serv.;634924;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2021;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-G00-G99;Diseases of the nervous system;628791;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2024;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-D50-D90;Diseases of the blood and blood-forming organs etc;119000;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2023;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-L00-L99;Diseases of the skin and subcutaneous tissue;249758;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2018;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-O00-O99;Pregnancy childbirth and the puerperium;1045825;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2021;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-R00-R99;Symptoms,signs, abn.clinical,labor.findings n.e.c.;723296;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2023;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-U00-U85;Key numbers for special purposes;725;number;GES025;Patients discharged from hospital;e
