Tabelle: 12211-0001
Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen, Nichterwerbspersonen aus Hauptwohnsitzhaushalten: Deutschland, Jahre, Geschlecht, Altersgruppen;;;;;;
Mikrozensus;;;;;;;;;;;
Deutschland;;;;;;;;;;;
;;Bevölkerung in Hauptwohnsitzhaushalten;;Erwerbstätige aus Hauptwohnsitzhaushalten;;Erwerbslose aus Hauptwohnsitzhaushalten;;Erwerbspersonen aus Hauptwohnsitzhaushalten;;Nichterwerbspersonen aus Hauptwohnsitzhaushalten;
;;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
2024;;;;;;;;;;;
männlich;unter 15 Jahre;5997;p;x;;x;;x;;5997;p
;15 bis unter 20 Jahre;2068;p;632;p;67;p;699;p;1369;p
;20 bis unter 25 Jahre;2251;p;1626;p;114;p;1740;p;511;p
;25 bis unter 30 Jahre;2539;p;2166;p;109;p;2276;p;263;p
;30 bis unter 35 Jahre;2781;p;2482;p;102;p;2584;p;198;p
;35 bis unter 40 Jahre;2854;p;2577;p;98;p;2675;p;180;p
;40 bis unter 45 Jahre;2683;p;2428;p;75;p;2503;p;180;p
;45 bis unter 50 Jahre;2467;p;2230;p;68;p;2299;p;168;p
;50 bis unter 55 Jahre;2711;p;2420;p;62;p;2483;p;229;p
;55 bis unter 60 Jahre;3303;p;2868;p;61;p;2929;p;374;p
;60 bis unter 65 Jahre;3162;p;2228;p;69;p;2297;p;865;p
;65 bis unter 70 Jahre;2496;p;629;p;10;p;639;p;1858;p
;70 bis unter 75 Jahre;2027;p;249;p;/;;252;p;1775;p
;75 Jahre und mehr;3582;p;135;p;/;;137;p;3445;p
;Insgesamt;40922;p;22671;p;841;p;23512;p;17410;p
weiblich;unter 15 Jahre;5706;p;x;;x;;x;;5706;p
;15 bis unter 20 Jahre;1884;p;510;p;47;p;557;p;1326;p
;20 bis unter 25 Jahre;2114;p;1445;p;84;p;1528;p;585;p
;25 bis unter 30 Jahre;2325;p;1862;p;76;p;1938;p;387;p
;30 bis unter 35 Jahre;2623;p;2074;p;80;p;2153;p;470;p
;35 bis unter 40 Jahre;2757;p;2196;p;81;p;2276;p;481;p
;40 bis unter 45 Jahre;2688;p;2232;p;67;p;2300;p;388;p
;45 bis unter 50 Jahre;2475;p;2095;p;56;p;2151;p;324;p
;50 bis unter 55 Jahre;2701;p;2258;p;48;p;2306;p;395;p
;55 bis unter 60 Jahre;3318;p;2652;p;56;p;2708;p;610;p
;60 bis unter 65 Jahre;3236;p;2035;p;47;p;2082;p;1154;p
;65 bis unter 70 Jahre;2713;p;472;p;/;;477;p;2235;p
;70 bis unter 75 Jahre;2331;p;162;p;/;;163;p;2168;p
;75 Jahre und mehr;4976;p;76;p;/;;76;p;4900;p
;Insgesamt;41847;p;20067;p;649;p;20716;p;21131;p
Insgesamt;unter 15 Jahre;11703;p;x;;x;;x;;11703;p
;15 bis unter 20 Jahre;3952;p;1142;p;114;p;1256;p;2695;p
;20 bis unter 25 Jahre;4365;p;3071;p;198;p;3269;p;1096;p
;25 bis unter 30 Jahre;4864;p;4028;p;185;p;4214;p;650;p
;30 bis unter 35 Jahre;5405;p;4556;p;181;p;4737;p;668;p
;35 bis unter 40 Jahre;5612;p;4773;p;178;p;4951;p;661;p
;40 bis unter 45 Jahre;5371;p;4661;p;142;p;4803;p;568;p
;45 bis unter 50 Jahre;4942;p;4325;p;125;p;4450;p;493;p
;50 bis unter 55 Jahre;5412;p;4678;p;110;p;4788;p;624;p
;55 bis unter 60 Jahre;6621;p;5520;p;117;p;5637;p;984;p
;60 bis unter 65 Jahre;6397;p;4263;p;116;p;4379;p;2019;p
;65 bis unter 70 Jahre;5209;p;1100;p;16;p;1116;p;4093;p
;70 bis unter 75 Jahre;4358;p;411;p;/;;415;p;3942;p
;75 Jahre und mehr;8558;p;211;p;/;;213;p;8345;p
;Insgesamt;82769;p;42739;p;1489;p;44228;p;38541;p
__________
© Statistisches Bundesamt (Destatis), 2025
Stand: 04.12.2025 / 21:29:52
